State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,Yield
Odisha,BARGARH,2006,Winter,Potato,434.0,3400.8,7.83594470046083
Odisha,BARGARH,2006,Winter,Ragi,1.0,0.3,0.3
Odisha,BARGARH,2006,Winter,Rapeseed &Mustard,389.0,105.8,0.27197943444730077
Odisha,BARGARH,2006,Winter,Rice,179000.0,363000.0,2.0279329608938546
Odisha,BARGARH,2006,Winter,Sesamum,617.0,103.7,0.1680713128038898
Odisha,BARGARH,2006,Winter,Sugarcane,934.0,64195.7,68.73201284796573
Odisha,BARGARH,2006,Winter,Urad,1.0,0.4,0.4
Odisha,BARGARH,2007,Autumn,Groundnut,16607.0,17370.9,1.0459986752574217
Odisha,BARGARH,2007,Autumn,Maize,50.0,56.4,1.128
Odisha,BARGARH,2007,Autumn,Moong(Green Gram),13333.0,4146.6,0.31100277506937674
Odisha,BARGARH,2007,Autumn,Ragi,1.0,0.5,0.5
Odisha,BARGARH,2007,Autumn,Rice,62000.0,66000.0,1.064516129032258
Odisha,BARGARH,2007,Autumn,Sesamum,8.0,1.7,0.2125
Odisha,BARGARH,2007,Autumn,Urad,8144.0,2435.1,0.29900540275049114
Odisha,BARGARH,2007,Summer,Groundnut,3064.0,4255.9,1.3890013054830286
Odisha,BARGARH,2007,Summer,Maize,1.0,1.2,1.2
Odisha,BARGARH,2007,Summer,Moong(Green Gram),2280.0,850.4,0.37298245614035086
Odisha,BARGARH,2007,Summer,Rice,64000.0,214000.0,3.34375
Odisha,BARGARH,2007,Summer,Sesamum,168.0,71.2,0.4238095238095238
Odisha,BARGARH,2007,Summer,Urad,9.0,2.6,0.2888888888888889
Odisha,BARGARH,2007,Summer,Wheat,446.0,638.8,1.432286995515695
Odisha,BARGARH,2007,Winter,Horse-gram,1120.0,312.5,0.27901785714285715
Odisha,BARGARH,2007,Winter,Moong(Green Gram),53.0,16.8,0.31698113207547174
Odisha,BARGARH,2007,Winter,Potato,318.0,2486.8,7.820125786163523
Odisha,BARGARH,2007,Winter,Ragi,1.0,0.1,0.1
Odisha,BARGARH,2007,Winter,Rapeseed &Mustard,444.0,127.0,0.28603603603603606
Odisha,BARGARH,2007,Winter,Rice,175000.0,354000.0,2.0228571428571427
Odisha,BARGARH,2007,Winter,Sesamum,799.0,145.4,0.18197747183979976
Odisha,BARGARH,2007,Winter,Sugarcane,742.0,47581.5,64.12601078167116
Odisha,BARGARH,2007,Winter,Urad,9.0,3.2,0.35555555555555557
Odisha,BARGARH,2008,Autumn,Groundnut,18056.0,18850.5,1.0440019937970757
Odisha,BARGARH,2008,Autumn,Maize,112.0,145.6,1.3
Odisha,BARGARH,2008,Autumn,Moong(Green Gram),13062.0,3605.1,0.27599908130454753
Odisha,BARGARH,2008,Autumn,Ragi,7.0,2.5,0.35714285714285715
Odisha,BARGARH,2008,Autumn,Rice,58000.0,51000.0,0.8793103448275862
Odisha,BARGARH,2008,Autumn,Sesamum,45.0,10.4,0.23111111111111113
Odisha,BARGARH,2008,Autumn,Urad,7752.0,2271.3,0.2929953560371517
Odisha,BARGARH,2008,Summer,Groundnut,1634.0,2236.9,1.3689718482252142
Odisha,BARGARH,2008,Summer,Maize,4.0,7.7,1.925
Odisha,BARGARH,2008,Summer,Moong(Green Gram),881.0,326.9,0.37105561861520997
Odisha,BARGARH,2008,Summer,Rice,61000.0,207000.0,3.3934426229508197
Odisha,BARGARH,2008,Summer,Sesamum,95.0,31.7,0.3336842105263158
Odisha,BARGARH,2008,Summer,Urad,10.0,3.2,0.32
Odisha,BARGARH,2008,Summer,Wheat,258.0,360.2,1.3961240310077518
Odisha,BARGARH,2008,Winter,Horse-gram,1057.0,327.7,0.3100283822138127
Odisha,BARGARH,2008,Winter,Moong(Green Gram),46.0,14.3,0.31086956521739134
Odisha,BARGARH,2008,Winter,Potato,270.0,2136.8,7.914074074074075
Odisha,BARGARH,2008,Winter,Ragi,10.0,2.1,0.21000000000000002
Odisha,BARGARH,2008,Winter,Rapeseed &Mustard,585.0,161.5,0.2760683760683761
Odisha,BARGARH,2008,Winter,Rice,186000.0,366000.0,1.967741935483871
Odisha,BARGARH,2008,Winter,Sesamum,1082.0,186.1,0.17199630314232903
Odisha,BARGARH,2008,Winter,Sugarcane,415.0,27602.1,66.51108433734939
Odisha,BARGARH,2008,Winter,Urad,1.0,0.1,0.1
Odisha,BARGARH,2009,Autumn,Groundnut,15882.0,15882.0,1.0
Odisha,BARGARH,2009,Autumn,Maize,127.0,145.2,1.1433070866141732
Odisha,BARGARH,2009,Autumn,Moong(Green Gram),11591.0,3048.4,0.2629971529635062
Odisha,BARGARH,2009,Autumn,Rice,58000.0,65000.0,1.1206896551724137
Odisha,BARGARH,2009,Autumn,Sesamum,23.0,5.1,0.2217391304347826
Odisha,BARGARH,2009,Autumn,Urad,7490.0,2052.3,0.2740053404539386
Odisha,BARGARH,2009,Summer,Groundnut,1777.0,2297.7,1.293021947101857
Odisha,BARGARH,2009,Summer,Maize,4.0,7.5,1.875
Odisha,BARGARH,2009,Summer,Moong(Green Gram),2624.0,858.0,0.32698170731707316
Odisha,BARGARH,2009,Summer,Rice,68000.0,229000.0,3.3676470588235294
Odisha,BARGARH,2009,Summer,Sesamum,95.0,34.6,0.3642105263157895
Odisha,BARGARH,2009,Summer,Urad,15.0,5.0,0.3333333333333333
Odisha,BARGARH,2009,Summer,Wheat,214.0,314.6,1.4700934579439253
Odisha,BARGARH,2009,Winter,Horse-gram,1519.0,531.7,0.35003291639236345
Odisha,BARGARH,2009,Winter,Maize,1.0,2.0,2.0
Odisha,BARGARH,2009,Winter,Moong(Green Gram),56.0,14.1,0.2517857142857143
Odisha,BARGARH,2009,Winter,Potato,292.0,2494.3,8.542123287671233
Odisha,BARGARH,2009,Winter,Ragi,17.0,5.5,0.3235294117647059
Odisha,BARGARH,2009,Winter,Rapeseed &Mustard,512.0,149.5,0.2919921875
Odisha,BARGARH,2009,Winter,Rice,186000.0,387000.0,2.0806451612903225
Odisha,BARGARH,2009,Winter,Sesamum,1357.0,255.1,0.18798820928518792
Odisha,BARGARH,2009,Winter,Sugarcane,196.0,13639.1,69.58724489795918
Odisha,BARGARH,2009,Winter,Urad,1.0,0.2,0.2
Odisha,BARGARH,2010,Autumn,Groundnut,15932.0,15581.5,0.9780002510670349
Odisha,BARGARH,2010,Autumn,Maize,137.0,176.3,1.2868613138686131
Odisha,BARGARH,2010,Autumn,Moong(Green Gram),13533.0,4005.8,0.29600236459026086
Odisha,BARGARH,2010,Autumn,Rice,59000.0,47000.0,0.7966101694915254
Odisha,BARGARH,2010,Autumn,Sesamum,3.0,0.7,0.2333333333333333
Odisha,BARGARH,2010,Autumn,Urad,9136.0,2713.4,0.29700087565674255
Odisha,BARGARH,2010,Summer,Groundnut,1044.0,1467.9,1.4060344827586209
Odisha,BARGARH,2010,Summer,Maize,15.0,29.6,1.9733333333333334
Odisha,BARGARH,2010,Summer,Moong(Green Gram),1653.0,578.6,0.35003024803387783
Odisha,BARGARH,2010,Summer,Rice,67000.0,278000.0,4.149253731343284
Odisha,BARGARH,2010,Summer,Sesamum,94.0,33.0,0.35106382978723405
Odisha,BARGARH,2010,Summer,Urad,8.0,2.1,0.2625
Odisha,BARGARH,2010,Summer,Wheat,114.0,192.8,1.6912280701754387
Odisha,BARGARH,2010,Winter,Horse-gram,1348.0,492.0,0.3649851632047478
Odisha,BARGARH,2010,Winter,Moong(Green Gram),132.0,39.3,0.29772727272727273
Odisha,BARGARH,2010,Winter,Potato,265.0,2678.6,10.107924528301886
Odisha,BARGARH,2010,Winter,Rapeseed &Mustard,795.0,230.6,0.290062893081761
Odisha,BARGARH,2010,Winter,Rice,177000.0,370000.0,2.0903954802259888
Odisha,BARGARH,2010,Winter,Sesamum,1238.0,271.1,0.21898222940226172
Odisha,BARGARH,2010,Winter,Sugarcane,494.0,34389.3,69.61396761133604
Odisha,BARGARH,2010,Winter,Urad,4.0,0.9,0.225
Odisha,BARGARH,2011,Autumn,Groundnut,13706.0,12157.2,0.8869983948635635
Odisha,BARGARH,2011,Autumn,Maize,105.0,137.1,1.3057142857142856
